Gender,Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Past_Gift_Item,Past_Gift_Reaction,Recent_Purchase_1,Recent_Purchase_2,Recent_Purchase_3,Best_Gift
Other,29,Married,High,Anniversary,Sentimental,1-3 years,Art,Fashion Accessory,Loved it,Earrings,Necklace,Hat,Subscription Service
Female,49,Engaged,Medium,Anniversary,Practical,6-12 months,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Male,42,Single,High,Valentine's Day,Surprise,6-12 months,Fashion,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Personalized Gift
Other,50,Married,Very High,Just Because,Adventurous,1-3 years,Technology,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,40,Dating,Medium,Valentine's Day,Adventurous,3-5 years,Music,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Other,51,Single,Very High,Just Because,Surprise,1-3 years,Art,Chocolates,Liked it,Hat,Handbag,Earrings,Personalized Gift
Other,55,Married,Low,Just Because,Romantic,6-12 months,Music,Tech Gadget,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,38,Dating,High,Birthday,Surprise,3-5 years,Music,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,54,Dating,Medium,Birthday,Romantic,6-12 months,Technology,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Flowers
Other,40,Single,High,Just Because,Sentimental,3-5 years,Art,Personalized Gift,Liked it,Necklace,Hat,Handbag,Subscription Service
Other,43,Dating,Very High,Birthday,Romantic,1-3 years,Technology,Subscription Service,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,42,Dating,High,Birthday,Adventurous,1-3 years,Sports,Personalized Gift,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Male,28,Engaged,High,Birthday,Sentimental,5+ years,Cooking,Fashion Accessory,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Male,31,Dating,Medium,Just Because,Sentimental,5+ years,Sports,Subscription Service,Loved it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Female,43,Single,Very High,Anniversary,Romantic,3-5 years,Fashion,Tech Gadget,Liked it,Necklace,Hat,Handbag,Personalized Gift
Other,26,Dating,Very High,Valentine's Day,Sentimental,5+ years,Music,Fashion Accessory,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,29,Engaged,Low,Birthday,Adventurous,3-5 years,Cooking,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,46,Engaged,High,Valentine's Day,Practical,1-3 years,Fashion,Chocolates,Liked it,Handbag,Earrings,Necklace,Flowers
Male,32,Engaged,Low,Birthday,Romantic,3-5 years,Art,Personalized Gift,Loved it,Hat,Handbag,Earrings,Flowers
Male,32,Married,High,Just Because,Surprise,1-3 years,Art,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Personalized Gift
Female,47,Dating,Medium,Just Because,Surprise,<6 months,Fashion,Chocolates,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Female,47,Dating,Very High,Anniversary,Adventurous,6-12 months,Art,Chocolates,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,31,Engaged,Low,Valentine's Day,Adventurous,6-12 months,Technology,Tech Gadget,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Female,42,Married,Medium,Valentine's Day,Adventurous,6-12 months,Technology,Tech Gadget,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,36,Dating,Low,Just Because,Surprise,5+ years,Sports,Flowers,Liked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,49,Dating,Low,Anniversary,Sentimental,5+ years,Technology,Tech Gadget,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,54,Dating,Very High,Birthday,Adventurous,1-3 years,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Female,50,Dating,High,Valentine's Day,Sentimental,<6 months,Sports,Personalized Gift,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Female,48,Engaged,Very High,Just Because,Adventurous,3-5 years,Technology,Personalized Gift,Disliked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,41,Engaged,Low,Birthday,Sentimental,1-3 years,Music,Chocolates,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Male,51,Single,Low,Anniversary,Surprise,6-12 months,Art,Flowers,Loved it,Handbag,Earrings,Necklace,Fashion Accessory
Other,52,Married,High,Just Because,Adventurous,1-3 years,Fashion,Subscription Service,Loved it,Necklace,Hat,Handbag,Chocolates
Male,51,Married,Medium,Birthday,Practical,6-12 months,Fashion,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Chocolates
Male,59,Married,Low,Anniversary,Practical,1-3 years,Music,Flowers,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Female,24,Married,Medium,Valentine's Day,Surprise,<6 months,Sports,Fashion Accessory,Liked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,44,Single,Low,Anniversary,Sentimental,3-5 years,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,22,Engaged,Very High,Valentine's Day,Surprise,3-5 years,Cooking,Flowers,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Other,22,Married,Medium,Birthday,Romantic,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,25,Dating,Low,Anniversary,Surprise,<6 months,Technology,Flowers,Liked it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,54,Married,Medium,Just Because,Surprise,3-5 years,Fashion,Flowers,Liked it,Hat,Handbag,Earrings,Subscription Service
Other,51,Dating,High,Anniversary,Adventurous,5+ years,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,51,Dating,Medium,Just Because,Romantic,6-12 months,Music,Subscription Service,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Other,38,Single,Low,Birthday,Romantic,5+ years,Cooking,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Male,23,Engaged,Very High,Just Because,Practical,6-12 months,Music,Fashion Accessory,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,45,Engaged,Very High,Just Because,Sentimental,5+ years,Music,Fashion Accessory,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,33,Married,Low,Just Because,Romantic,3-5 years,Music,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Male,56,Married,High,Anniversary,Sentimental,1-3 years,Art,Flowers,Loved it,Necklace,Hat,Handbag,Fashion Accessory
Male,43,Single,High,Valentine's Day,Romantic,<6 months,Cooking,Flowers,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Tech Gadget
Other,20,Engaged,High,Just Because,Sentimental,<6 months,Cooking,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Female,54,Dating,Very High,Birthday,Adventurous,1-3 years,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Female,31,Single,Very High,Valentine's Day,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Personalized Gift
Male,51,Married,Low,Anniversary,Practical,3-5 years,Fashion,Tech Gadget,Liked it,Handbag,Earrings,Necklace,Chocolates
Female,36,Single,Very High,Just Because,Sentimental,1-3 years,Cooking,Tech Gadget,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,21,Engaged,Low,Birthday,Sentimental,5+ years,Sports,Subscription Service,Liked it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,47,Dating,Low,Just Because,Practical,3-5 years,Music,Subscription Service,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Male,26,Dating,Medium,Anniversary,Romantic,6-12 months,Fashion,Tech Gadget,Loved it,Hat,Handbag,Earrings,Flowers
Other,35,Single,Medium,Anniversary,Romantic,1-3 years,Fashion,Flowers,Loved it,Hat,Handbag,Earrings,Subscription Service
Female,54,Married,Very High,Valentine's Day,Surprise,3-5 years,Fashion,Personalized Gift,Loved it,Earrings,Necklace,Hat,Subscription Service
Other,27,Married,High,Anniversary,Adventurous,1-3 years,Cooking,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Other,39,Dating,Low,Valentine's Day,Surprise,1-3 years,Art,Chocolates,Loved it,Handbag,Earrings,Necklace,Subscription Service
Female,25,Dating,High,Valentine's Day,Surprise,5+ years,Art,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Fashion Accessory
Female,42,Single,Very High,Anniversary,Practical,5+ years,Cooking,Personalized Gift,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Female,49,Dating,Very High,Valentine's Day,Sentimental,5+ years,Cooking,Subscription Service,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Other,58,Married,Low,Valentine's Day,Sentimental,3-5 years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,34,Dating,Low,Valentine's Day,Surprise,<6 months,Fashion,Subscription Service,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Male,36,Single,Very High,Valentine's Day,Sentimental,<6 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Female,26,Dating,Medium,Anniversary,Sentimental,5+ years,Technology,Subscription Service,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Female,29,Single,High,Birthday,Practical,6-12 months,Sports,Personalized Gift,Loved it,Processor Chip,Headphones,Phone Charger,Chocolates
Female,27,Dating,Very High,Birthday,Sentimental,3-5 years,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,20,Engaged,Medium,Valentine's Day,Practical,6-12 months,Fashion,Subscription Service,Loved it,Earrings,Necklace,Hat,Chocolates
Male,23,Dating,Low,Just Because,Practical,5+ years,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Flowers
Other,52,Single,Medium,Just Because,Practical,<6 months,Cooking,Subscription Service,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Female,27,Dating,High,Just Because,Practical,3-5 years,Art,Subscription Service,Liked it,Necklace,Hat,Handbag,Chocolates
Other,52,Single,High,Valentine's Day,Practical,6-12 months,Technology,Tech Gadget,Loved it,Processor Chip,Headphones,Phone Charger,Subscription Service
Other,33,Engaged,Very High,Anniversary,Adventurous,<6 months,Fashion,Flowers,Disliked it,Handbag,Earrings,Necklace,Personalized Gift
Female,30,Dating,Medium,Anniversary,Surprise,6-12 months,Cooking,Personalized Gift,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,29,Engaged,Very High,Just Because,Sentimental,1-3 years,Sports,Fashion Accessory,Disliked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Female,58,Engaged,Medium,Anniversary,Practical,1-3 years,Art,Flowers,Liked it,Handbag,Earrings,Necklace,Chocolates
Male,54,Dating,Medium,Anniversary,Sentimental,3-5 years,Art,Chocolates,Loved it,Hat,Handbag,Earrings,Fashion Accessory
Other,29,Engaged,Low,Birthday,Adventurous,3-5 years,Cooking,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,29,Dating,Medium,Birthday,Adventurous,1-3 years,Sports,Personalized Gift,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,22,Engaged,Very High,Valentine's Day,Surprise,3-5 years,Cooking,Flowers,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,22,Dating,High,Valentine's Day,Romantic,5+ years,Art,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Flowers
Other,59,Dating,Very High,Anniversary,Sentimental,3-5 years,Cooking,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Female,37,Married,Low,Valentine's Day,Sentimental,5+ years,Music,Flowers,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,30,Engaged,Low,Just Because,Practical,<6 months,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Subscription Service
Male,51,Dating,Very High,Valentine's Day,Romantic,5+ years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,60,Single,Medium,Just Because,Romantic,3-5 years,Cooking,Tech Gadget,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Female,25,Single,Very High,Birthday,Sentimental,5+ years,Art,Fashion Accessory,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Female,22,Single,Medium,Anniversary,Practical,3-5 years,Music,Fashion Accessory,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Other,30,Married,Low,Just Because,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Earrings,Necklace,Hat,Subscription Service
Female,45,Dating,Low,Valentine's Day,Surprise,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Male,25,Married,Medium,Birthday,Sentimental,6-12 months,Technology,Tech Gadget,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,27,Single,Medium,Anniversary,Practical,1-3 years,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Chocolates
Other,38,Engaged,Very High,Valentine's Day,Practical,1-3 years,Sports,Fashion Accessory,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,31,Single,Medium,Just Because,Practical,1-3 years,Technology,Personalized Gift,Loved it,Processor Chip,Headphones,Phone Charger,Subscription Service
Other,51,Dating,High,Anniversary,Adventurous,5+ years,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Male,21,Engaged,High,Valentine's Day,Romantic,5+ years,Sports,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Flowers
Other,51,Dating,High,Anniversary,Adventurous,5+ years,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,51,Dating,Very High,Anniversary,Adventurous,3-5 years,Sports,Subscription Service,Liked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,41,Married,Low,Birthday,Romantic,1-3 years,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Flowers
Other,27,Single,High,Birthday,Sentimental,6-12 months,Art,Chocolates,Loved it,Earrings,Necklace,Hat,Subscription Service
Male,24,Married,High,Just Because,Sentimental,3-5 years,Cooking,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Male,39,Single,Medium,Birthday,Sentimental,6-12 months,Technology,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Other,35,Dating,Medium,Birthday,Practical,6-12 months,Fashion,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Subscription Service
Female,53,Single,Very High,Valentine's Day,Practical,3-5 years,Music,Personalized Gift,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,45,Married,High,Valentine's Day,Adventurous,5+ years,Cooking,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,30,Engaged,Medium,Birthday,Surprise,6-12 months,Fashion,Subscription Service,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Other,50,Married,Very High,Just Because,Adventurous,1-3 years,Technology,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,45,Single,Medium,Birthday,Adventurous,<6 months,Art,Tech Gadget,Disliked it,Necklace,Hat,Handbag,Subscription Service
Male,33,Dating,Low,Anniversary,Practical,6-12 months,Fashion,Chocolates,Liked it,Hat,Handbag,Earrings,Flowers
Other,25,Single,Very High,Anniversary,Romantic,1-3 years,Fashion,Subscription Service,Liked it,Handbag,Earrings,Necklace,Personalized Gift
Other,27,Single,High,Valentine's Day,Sentimental,3-5 years,Sports,Flowers,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,38,Single,Very High,Valentine's Day,Adventurous,3-5 years,Fashion,Flowers,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,53,Dating,Medium,Valentine's Day,Adventurous,<6 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Female,39,Single,Very High,Anniversary,Adventurous,1-3 years,Sports,Tech Gadget,Liked it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,23,Married,Very High,Anniversary,Sentimental,3-5 years,Sports,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,25,Dating,High,Valentine's Day,Surprise,5+ years,Art,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Fashion Accessory
Male,53,Engaged,Low,Anniversary,Sentimental,<6 months,Art,Tech Gadget,Disliked it,Necklace,Hat,Handbag,Fashion Accessory
Female,31,Engaged,Low,Anniversary,Sentimental,<6 months,Fashion,Flowers,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Female,42,Single,Very High,Birthday,Sentimental,1-3 years,Fashion,Tech Gadget,Liked it,Necklace,Hat,Handbag,Personalized Gift
Female,43,Married,High,Valentine's Day,Practical,<6 months,Technology,Personalized Gift,Liked it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Female,24,Engaged,Very High,Anniversary,Practical,5+ years,Sports,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,45,Married,High,Anniversary,Sentimental,6-12 months,Technology,Subscription Service,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Tech Gadget
Male,59,Dating,Very High,Valentine's Day,Practical,<6 months,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,48,Single,Low,Anniversary,Practical,6-12 months,Music,Tech Gadget,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Male,20,Married,High,Just Because,Sentimental,1-3 years,Cooking,Chocolates,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Male,32,Single,Low,Birthday,Romantic,<6 months,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Tech Gadget
Female,45,Married,High,Valentine's Day,Adventurous,5+ years,Cooking,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,49,Dating,Low,Just Because,Romantic,6-12 months,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,47,Single,Very High,Anniversary,Surprise,6-12 months,Cooking,Personalized Gift,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Female,50,Engaged,Medium,Birthday,Adventurous,<6 months,Sports,Fashion Accessory,Disliked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,29,Married,Medium,Just Because,Practical,6-12 months,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Male,34,Single,Low,Birthday,Sentimental,5+ years,Art,Subscription Service,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Female,49,Dating,Very High,Valentine's Day,Sentimental,5+ years,Cooking,Subscription Service,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,30,Single,High,Valentine's Day,Surprise,5+ years,Technology,Subscription Service,Loved it,Smart Speaker,Processor Chip,Headphones,Tech Gadget
Male,32,Engaged,Low,Birthday,Romantic,3-5 years,Art,Personalized Gift,Loved it,Hat,Handbag,Earrings,Flowers
Other,36,Engaged,Low,Anniversary,Surprise,6-12 months,Technology,Fashion Accessory,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,42,Married,Medium,Valentine's Day,Adventurous,6-12 months,Technology,Tech Gadget,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Other,43,Single,Low,Birthday,Romantic,3-5 years,Art,Flowers,Loved it,Earrings,Necklace,Hat,Subscription Service
Male,46,Dating,High,Just Because,Adventurous,5+ years,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,30,Engaged,Low,Just Because,Practical,<6 months,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Subscription Service
Male,22,Dating,Medium,Anniversary,Surprise,1-3 years,Cooking,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,22,Married,Medium,Birthday,Romantic,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,51,Single,Very High,Just Because,Sentimental,6-12 months,Music,Subscription Service,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,22,Engaged,Low,Birthday,Practical,<6 months,Cooking,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Male,54,Single,High,Birthday,Adventurous,<6 months,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Female,60,Single,Very High,Anniversary,Practical,1-3 years,Fashion,Flowers,Liked it,Hat,Handbag,Earrings,Personalized Gift
Other,52,Engaged,Medium,Just Because,Adventurous,6-12 months,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,60,Single,Very High,Anniversary,Practical,5+ years,Music,Fashion Accessory,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Male,44,Single,Low,Birthday,Adventurous,6-12 months,Art,Personalized Gift,Liked it,Hat,Handbag,Earrings,Fashion Accessory
Female,54,Dating,Very High,Birthday,Adventurous,1-3 years,Sports,Flowers,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Female,43,Single,Very High,Anniversary,Romantic,3-5 years,Fashion,Tech Gadget,Liked it,Necklace,Hat,Handbag,Personalized Gift
Other,34,Dating,Medium,Just Because,Surprise,5+ years,Art,Fashion Accessory,Disliked it,Hat,Handbag,Earrings,Subscription Service
Male,33,Single,Medium,Anniversary,Romantic,3-5 years,Art,Flowers,Loved it,Hat,Handbag,Earrings,Tech Gadget
Female,24,Dating,Very High,Anniversary,Romantic,6-12 months,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,48,Single,Very High,Anniversary,Practical,1-3 years,Fashion,Tech Gadget,Liked it,Earrings,Necklace,Hat,Personalized Gift
Male,37,Engaged,Very High,Valentine's Day,Practical,3-5 years,Art,Flowers,Loved it,Earrings,Necklace,Hat,Personalized Gift
Other,54,Engaged,Very High,Birthday,Romantic,3-5 years,Sports,Flowers,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,34,Married,High,Anniversary,Sentimental,1-3 years,Music,Personalized Gift,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Male,32,Single,High,Anniversary,Surprise,1-3 years,Art,Chocolates,Disliked it,Necklace,Hat,Handbag,Fashion Accessory
Male,25,Married,Medium,Birthday,Practical,1-3 years,Music,Chocolates,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Male,37,Married,Medium,Valentine's Day,Romantic,3-5 years,Cooking,Personalized Gift,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Flowers
