Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Female,48,Complicated,Luxury (>$500),Casual Valentine,Sentimental,<6 months,Travel,Enjoys luxury items,Very Popular,Expression of Love,Highly Appreciated,In-Person,Eco-Friendly,Chocolates
Non-Binary,18,Engaged,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Travel,Has allergies,Rare Choice,Expression of Love,Disliked,Planned Surprise,Minimalist,Flowers
Female,43,Engaged,Luxury (>$500),First Valentine,Surprise,6 months - 1 year,Cooking,Handmade gifts appreciated,Moderately Popular,Celebration,Highly Appreciated,In-Person,Eco-Friendly,Jewelry
Non-Binary,31,Engaged,Medium ($20-$100),First Valentine,Surprise,1-3 years,Cooking,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,Eco-Friendly,Subscription Service
Male,42,Dating,Low (<$20),Anniversary Valentine,Fun,<6 months,Gaming,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Fancy Wrapping,Tech Gadgets
Other,59,Single,High ($100-$500),Anniversary Valentine,Fun,<6 months,Gaming,Enjoys luxury items,Very Popular,Apology,Disliked,Planned Surprise,No Wrapping,Fashion Accessories
Other,59,Engaged,Medium ($20-$100),First Valentine,Practical,3+ years,Travel,Prefers practical gifts,Moderately Popular,Celebration,Neutral,Online Delivery,Eco-Friendly,Subscription Service
Female,45,Dating,High ($100-$500),Anniversary Valentine,Sentimental,6 months - 1 year,Technology,Has allergies,Very Popular,Apology,Never Given Gift Before,Online Delivery,Eco-Friendly,Handmade Gift
Non-Binary,36,Complicated,Luxury (>$500),Casual Valentine,Luxury,3+ years,Fashion,Prefers experiences over items,Rare Choice,Apology,Disliked,In-Person,Fancy Wrapping,Personalized Gift
Other,19,Dating,Medium ($20-$100),Anniversary Valentine,Luxury,3+ years,Cooking,Prefers experiences over items,Very Popular,Celebration,Highly Appreciated,Online Delivery,Fancy Wrapping,Handmade Gift
Male,43,Dating,High ($100-$500),Long-Distance Valentine,Sentimental,1-3 years,Travel,Prefers experiences over items,Rare Choice,Apology,Never Given Gift Before,Courier,Eco-Friendly,Fashion Accessories
Other,52,Single,Medium ($20-$100),Anniversary Valentine,Fun,3+ years,Fashion,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,Minimalist,Flowers
Male,28,Complicated,Low (<$20),Anniversary Valentine,Romantic,6 months - 1 year,Reading,Enjoys luxury items,Rare Choice,Apology,Highly Appreciated,Online Delivery,Eco-Friendly,Handmade Gift
Female,31,Dating,High ($100-$500),First Valentine,Practical,6 months - 1 year,Gaming,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Non-Binary,57,Engaged,High ($100-$500),Casual Valentine,Sentimental,<6 months,Fitness,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Subscription Service
Male,50,Dating,Luxury (>$500),Casual Valentine,Romantic,1-3 years,Fitness,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,Eco-Friendly,Subscription Service
Non-Binary,39,Married,Low (<$20),Long-Distance Valentine,Luxury,3+ years,Fashion,Loves surprises,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,Eco-Friendly,Perfume
Non-Binary,21,Engaged,Luxury (>$500),Long-Distance Valentine,Practical,3+ years,Cooking,Enjoys luxury items,Rare Choice,Celebration,Disliked,Courier,Fancy Wrapping,Fashion Accessories
Male,28,Single,Low (<$20),Anniversary Valentine,Practical,<6 months,Music,Prefers experiences over items,Rare Choice,Apology,Neutral,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,40,Married,Medium ($20-$100),Long-Distance Valentine,Luxury,1-3 years,Technology,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Eco-Friendly,Jewelry
Non-Binary,18,Engaged,High ($100-$500),First Valentine,Romantic,3+ years,Gaming,Loves surprises,Rare Choice,Expression of Love,Neutral,Planned Surprise,Eco-Friendly,Jewelry
Non-Binary,45,Dating,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Fashion,Enjoys luxury items,Rare Choice,Celebration,Highly Appreciated,In-Person,Fancy Wrapping,Subscription Service
Male,46,Single,High ($100-$500),Long-Distance Valentine,Practical,<6 months,Art,Prefers practical gifts,Very Popular,Celebration,Disliked,In-Person,Minimalist,Jewelry
Other,29,Married,Luxury (>$500),Anniversary Valentine,Luxury,3+ years,Fitness,Prefers experiences over items,Rare Choice,Celebration,Neutral,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,50,Complicated,Low (<$20),Anniversary Valentine,Luxury,6 months - 1 year,Reading,Prefers experiences over items,Rare Choice,Apology,Neutral,In-Person,Fancy Wrapping,Fashion Accessories
Other,53,Dating,Luxury (>$500),Anniversary Valentine,Practical,1-3 years,Fitness,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,No Wrapping,Personalized Gift
Male,37,Single,Luxury (>$500),First Valentine,Romantic,3+ years,Fashion,Handmade gifts appreciated,Rare Choice,Celebration,Neutral,Planned Surprise,No Wrapping,Personalized Gift
Non-Binary,49,Dating,Luxury (>$500),Casual Valentine,Romantic,6 months - 1 year,Music,Handmade gifts appreciated,Moderately Popular,Celebration,Disliked,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,46,Dating,Luxury (>$500),Anniversary Valentine,Practical,<6 months,Gaming,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,31,Engaged,Medium ($20-$100),First Valentine,Fun,6 months - 1 year,Technology,Has allergies,Rare Choice,Celebration,Highly Appreciated,Courier,Fancy Wrapping,Subscription Service
Female,39,Complicated,High ($100-$500),First Valentine,Romantic,1-3 years,Travel,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Eco-Friendly,Chocolates
Other,18,Dating,High ($100-$500),Anniversary Valentine,Sentimental,6 months - 1 year,Reading,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,Chocolates
Male,46,Dating,High ($100-$500),Long-Distance Valentine,Sentimental,1-3 years,Reading,Has allergies,Very Popular,Celebration,Never Given Gift Before,Courier,Fancy Wrapping,Chocolates
Male,27,Complicated,High ($100-$500),Anniversary Valentine,Luxury,6 months - 1 year,Cooking,Prefers practical gifts,Rare Choice,Apology,Highly Appreciated,Courier,Minimalist,Flowers
Male,56,Engaged,Luxury (>$500),Anniversary Valentine,Fun,1-3 years,Sports,Prefers practical gifts,Rare Choice,Celebration,Disliked,Courier,Minimalist,Subscription Service
Male,45,Dating,Luxury (>$500),Long-Distance Valentine,Romantic,3+ years,Art,Enjoys luxury items,Very Popular,Celebration,Disliked,Online Delivery,Eco-Friendly,Tech Gadgets
Male,19,Engaged,Luxury (>$500),Long-Distance Valentine,Surprise,1-3 years,Art,Handmade gifts appreciated,Very Popular,Apology,Disliked,Online Delivery,Minimalist,Subscription Service
Other,42,Single,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Fitness,Handmade gifts appreciated,Rare Choice,Celebration,Disliked,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,27,Complicated,Luxury (>$500),Long-Distance Valentine,Romantic,<6 months,Technology,Loves surprises,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Eco-Friendly,Chocolates
Non-Binary,41,Complicated,Medium ($20-$100),First Valentine,Romantic,6 months - 1 year,Travel,Prefers experiences over items,Very Popular,Expression of Love,Disliked,In-Person,Minimalist,Perfume
Female,43,Single,Low (<$20),Long-Distance Valentine,Fun,3+ years,Gaming,Has allergies,Rare Choice,Celebration,Neutral,In-Person,No Wrapping,Personalized Gift
Non-Binary,44,Engaged,High ($100-$500),Anniversary Valentine,Sentimental,<6 months,Reading,Has allergies,Very Popular,Apology,Never Given Gift Before,Courier,Minimalist,Jewelry
Female,44,Single,Low (<$20),Casual Valentine,Sentimental,3+ years,Fitness,Tech-savvy,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,44,Complicated,Low (<$20),Anniversary Valentine,Surprise,1-3 years,Gaming,Enjoys luxury items,Rare Choice,Celebration,Neutral,Online Delivery,Minimalist,Fashion Accessories
Non-Binary,52,Married,High ($100-$500),First Valentine,Surprise,6 months - 1 year,Cooking,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,Eco-Friendly,Handmade Gift
Other,22,Dating,Luxury (>$500),Long-Distance Valentine,Surprise,6 months - 1 year,Technology,Tech-savvy,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,No Wrapping,Personalized Gift
Non-Binary,50,Married,Low (<$20),Long-Distance Valentine,Luxury,3+ years,Cooking,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Courier,Eco-Friendly,Perfume
Male,36,Dating,High ($100-$500),Long-Distance Valentine,Sentimental,<6 months,Sports,Loves surprises,Rare Choice,Celebration,Neutral,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,41,Dating,Medium ($20-$100),Long-Distance Valentine,Fun,1-3 years,Fashion,Tech-savvy,Rare Choice,Apology,Never Given Gift Before,Online Delivery,No Wrapping,Tech Gadgets
Female,57,Complicated,High ($100-$500),First Valentine,Sentimental,6 months - 1 year,Cooking,Prefers experiences over items,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,No Wrapping,Handmade Gift
Non-Binary,37,Complicated,Luxury (>$500),Long-Distance Valentine,Practical,<6 months,Fashion,Loves surprises,Rare Choice,Spontaneous Surprise,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,27,Dating,Low (<$20),First Valentine,Fun,<6 months,Gaming,Prefers practical gifts,Rare Choice,Apology,Disliked,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,59,Married,Medium ($20-$100),Long-Distance Valentine,Surprise,<6 months,Fashion,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Highly Appreciated,Courier,No Wrapping,Chocolates
Female,47,Dating,Luxury (>$500),Long-Distance Valentine,Fun,6 months - 1 year,Gaming,Tech-savvy,Rare Choice,Apology,Disliked,Courier,Eco-Friendly,Chocolates
Other,37,Engaged,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Art,Enjoys luxury items,Very Popular,Celebration,Neutral,Courier,No Wrapping,Chocolates
Male,26,Engaged,Luxury (>$500),First Valentine,Practical,3+ years,Gaming,Prefers experiences over items,Moderately Popular,Apology,Disliked,In-Person,No Wrapping,Fashion Accessories
Other,25,Dating,Low (<$20),Long-Distance Valentine,Surprise,<6 months,Reading,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,No Wrapping,Fashion Accessories
Non-Binary,26,Complicated,Medium ($20-$100),Anniversary Valentine,Fun,1-3 years,Technology,Loves surprises,Rare Choice,Apology,Disliked,Courier,No Wrapping,Handmade Gift
Non-Binary,41,Complicated,High ($100-$500),Anniversary Valentine,Sentimental,6 months - 1 year,Music,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,Courier,Eco-Friendly,Handmade Gift
Male,30,Married,Medium ($20-$100),Long-Distance Valentine,Luxury,1-3 years,Art,Prefers practical gifts,Moderately Popular,Expression of Love,Highly Appreciated,Courier,Fancy Wrapping,Perfume
Other,46,Married,High ($100-$500),Casual Valentine,Practical,3+ years,Fitness,Prefers experiences over items,Rare Choice,Expression of Love,Neutral,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,34,Engaged,High ($100-$500),Anniversary Valentine,Romantic,3+ years,Art,Has allergies,Moderately Popular,Apology,Neutral,In-Person,Minimalist,Subscription Service
Non-Binary,58,Dating,High ($100-$500),Long-Distance Valentine,Luxury,1-3 years,Sports,Tech-savvy,Moderately Popular,Apology,Neutral,Online Delivery,Eco-Friendly,Fashion Accessories
Non-Binary,51,Engaged,Luxury (>$500),Anniversary Valentine,Luxury,6 months - 1 year,Sports,Tech-savvy,Moderately Popular,Celebration,Neutral,In-Person,Fancy Wrapping,Subscription Service
Non-Binary,22,Engaged,Low (<$20),Casual Valentine,Luxury,<6 months,Travel,Prefers experiences over items,Moderately Popular,Celebration,Neutral,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,29,Married,Medium ($20-$100),Long-Distance Valentine,Luxury,1-3 years,Technology,Prefers practical gifts,Rare Choice,Celebration,Neutral,Online Delivery,Minimalist,Jewelry
Other,31,Dating,Luxury (>$500),Anniversary Valentine,Sentimental,1-3 years,Fashion,Handmade gifts appreciated,Moderately Popular,Expression of Love,Never Given Gift Before,Courier,Eco-Friendly,Tech Gadgets
Other,59,Complicated,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Gaming,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Highly Appreciated,Courier,Fancy Wrapping,Jewelry
Male,19,Single,Low (<$20),Casual Valentine,Fun,6 months - 1 year,Fashion,Prefers practical gifts,Rare Choice,Expression of Love,Highly Appreciated,Planned Surprise,No Wrapping,Chocolates
Male,24,Complicated,Low (<$20),First Valentine,Surprise,6 months - 1 year,Technology,Prefers experiences over items,Rare Choice,Celebration,Never Given Gift Before,In-Person,Minimalist,Jewelry
Male,18,Engaged,Luxury (>$500),Long-Distance Valentine,Surprise,1-3 years,Travel,Loves surprises,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Chocolates
Other,42,Single,Luxury (>$500),First Valentine,Sentimental,1-3 years,Travel,Loves surprises,Moderately Popular,Apology,Highly Appreciated,In-Person,Minimalist,Tech Gadgets
Non-Binary,58,Engaged,Low (<$20),Long-Distance Valentine,Romantic,<6 months,Art,Prefers experiences over items,Very Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Minimalist,Tech Gadgets
Other,36,Married,Luxury (>$500),First Valentine,Surprise,<6 months,Cooking,Tech-savvy,Very Popular,Apology,Highly Appreciated,In-Person,Fancy Wrapping,Chocolates
Female,24,Complicated,High ($100-$500),Anniversary Valentine,Practical,6 months - 1 year,Cooking,Has allergies,Rare Choice,Apology,Neutral,In-Person,No Wrapping,Handmade Gift
Female,24,Married,Low (<$20),Anniversary Valentine,Romantic,<6 months,Technology,Enjoys luxury items,Very Popular,Expression of Love,Disliked,Planned Surprise,Fancy Wrapping,Subscription Service
Female,28,Complicated,Luxury (>$500),Anniversary Valentine,Practical,1-3 years,Technology,Enjoys luxury items,Very Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,No Wrapping,Fashion Accessories
Female,42,Married,Medium ($20-$100),First Valentine,Sentimental,1-3 years,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Disliked,In-Person,Eco-Friendly,Perfume
Female,52,Married,High ($100-$500),Long-Distance Valentine,Surprise,<6 months,Art,Prefers experiences over items,Very Popular,Spontaneous Surprise,Disliked,Planned Surprise,Eco-Friendly,Jewelry
Female,30,Complicated,Medium ($20-$100),First Valentine,Luxury,3+ years,Sports,Loves surprises,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Minimalist,Subscription Service
Female,27,Dating,High ($100-$500),Casual Valentine,Fun,6 months - 1 year,Technology,Handmade gifts appreciated,Moderately Popular,Celebration,Disliked,In-Person,No Wrapping,Personalized Gift
Male,50,Engaged,Medium ($20-$100),Anniversary Valentine,Luxury,3+ years,Fashion,Prefers practical gifts,Moderately Popular,Expression of Love,Never Given Gift Before,Online Delivery,No Wrapping,Fashion Accessories
Male,26,Engaged,Medium ($20-$100),First Valentine,Romantic,<6 months,Technology,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Eco-Friendly,Handmade Gift
Female,34,Single,Medium ($20-$100),Long-Distance Valentine,Sentimental,<6 months,Travel,Prefers experiences over items,Very Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Jewelry
Other,46,Single,Low (<$20),Long-Distance Valentine,Fun,6 months - 1 year,Sports,Handmade gifts appreciated,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Fancy Wrapping,Perfume
Female,23,Single,Luxury (>$500),Anniversary Valentine,Practical,1-3 years,Cooking,Has allergies,Rare Choice,Apology,Highly Appreciated,In-Person,No Wrapping,Handmade Gift
Male,27,Complicated,Medium ($20-$100),First Valentine,Surprise,3+ years,Gaming,Prefers practical gifts,Very Popular,Celebration,Neutral,In-Person,Eco-Friendly,Chocolates
Female,31,Married,Luxury (>$500),Anniversary Valentine,Practical,3+ years,Gaming,Loves surprises,Very Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Fashion Accessories
Female,51,Married,High ($100-$500),First Valentine,Sentimental,3+ years,Gaming,Handmade gifts appreciated,Rare Choice,Expression of Love,Neutral,Online Delivery,Fancy Wrapping,Chocolates
Female,54,Married,High ($100-$500),First Valentine,Surprise,<6 months,Fitness,Has allergies,Rare Choice,Apology,Disliked,Online Delivery,Fancy Wrapping,Perfume
Non-Binary,51,Engaged,Low (<$20),Anniversary Valentine,Surprise,6 months - 1 year,Technology,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,Tech Gadgets
Other,23,Single,Low (<$20),Casual Valentine,Sentimental,<6 months,Cooking,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,Eco-Friendly,Perfume
Male,50,Complicated,Medium ($20-$100),First Valentine,Romantic,3+ years,Music,Handmade gifts appreciated,Very Popular,Apology,Neutral,Planned Surprise,Eco-Friendly,Tech Gadgets
Male,47,Engaged,Low (<$20),First Valentine,Romantic,1-3 years,Reading,Handmade gifts appreciated,Very Popular,Apology,Disliked,In-Person,Minimalist,Chocolates
Female,19,Complicated,High ($100-$500),Anniversary Valentine,Romantic,6 months - 1 year,Gaming,Tech-savvy,Very Popular,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,Subscription Service
Female,47,Engaged,Medium ($20-$100),Casual Valentine,Practical,3+ years,Technology,Handmade gifts appreciated,Moderately Popular,Apology,Never Given Gift Before,Courier,No Wrapping,Handmade Gift
Other,30,Complicated,High ($100-$500),Long-Distance Valentine,Surprise,1-3 years,Fitness,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Planned Surprise,No Wrapping,Chocolates
Other,21,Single,Luxury (>$500),First Valentine,Practical,1-3 years,Sports,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,Fancy Wrapping,Subscription Service
Male,23,Single,Luxury (>$500),Long-Distance Valentine,Romantic,3+ years,Fitness,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,37,Engaged,Medium ($20-$100),Casual Valentine,Fun,6 months - 1 year,Gaming,Prefers experiences over items,Rare Choice,Celebration,Highly Appreciated,Online Delivery,Minimalist,Personalized Gift
Female,28,Married,Low (<$20),Long-Distance Valentine,Luxury,<6 months,Music,Tech-savvy,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Flowers
Male,55,Engaged,Medium ($20-$100),Casual Valentine,Romantic,6 months - 1 year,Art,Tech-savvy,Very Popular,Celebration,Disliked,Online Delivery,Eco-Friendly,Perfume
Non-Binary,49,Dating,Medium ($20-$100),Casual Valentine,Sentimental,1-3 years,Travel,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Minimalist,Chocolates
Female,44,Complicated,Low (<$20),First Valentine,Luxury,3+ years,Technology,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,No Wrapping,Subscription Service
Female,47,Dating,High ($100-$500),Long-Distance Valentine,Romantic,6 months - 1 year,Gaming,Handmade gifts appreciated,Rare Choice,Expression of Love,Disliked,Planned Surprise,Minimalist,Chocolates
Female,22,Dating,Medium ($20-$100),First Valentine,Luxury,<6 months,Technology,Enjoys luxury items,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,Eco-Friendly,Tech Gadgets
Non-Binary,51,Dating,High ($100-$500),Long-Distance Valentine,Luxury,<6 months,Reading,Loves surprises,Rare Choice,Expression of Love,Never Given Gift Before,Planned Surprise,Eco-Friendly,Fashion Accessories
Male,31,Single,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Technology,Loves surprises,Very Popular,Apology,Neutral,In-Person,No Wrapping,Handmade Gift
Other,38,Single,Low (<$20),Casual Valentine,Sentimental,<6 months,Fashion,Has allergies,Very Popular,Apology,Disliked,Planned Surprise,Minimalist,Handmade Gift
Other,48,Complicated,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Sports,Has allergies,Very Popular,Expression of Love,Never Given Gift Before,Online Delivery,Eco-Friendly,Flowers
Non-Binary,58,Engaged,Low (<$20),Anniversary Valentine,Luxury,<6 months,Fitness,Loves surprises,Rare Choice,Apology,Highly Appreciated,Courier,Minimalist,Tech Gadgets
Non-Binary,25,Married,High ($100-$500),First Valentine,Fun,<6 months,Sports,Loves surprises,Rare Choice,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,Handmade Gift
Female,48,Single,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Travel,Loves surprises,Rare Choice,Celebration,Disliked,In-Person,No Wrapping,Jewelry
Non-Binary,58,Complicated,Low (<$20),Casual Valentine,Romantic,6 months - 1 year,Cooking,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Courier,Minimalist,Subscription Service
Female,19,Single,High ($100-$500),Anniversary Valentine,Romantic,3+ years,Reading,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Disliked,Courier,Eco-Friendly,Jewelry
Other,42,Complicated,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Gaming,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Courier,Eco-Friendly,Chocolates
Non-Binary,36,Married,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Art,Prefers practical gifts,Very Popular,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Other,37,Single,Low (<$20),First Valentine,Sentimental,1-3 years,Art,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Eco-Friendly,Jewelry
Male,26,Dating,Luxury (>$500),Casual Valentine,Romantic,1-3 years,Technology,Prefers experiences over items,Very Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,26,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,1-3 years,Fashion,Tech-savvy,Very Popular,Apology,Disliked,Planned Surprise,Minimalist,Jewelry
Non-Binary,45,Married,Medium ($20-$100),First Valentine,Practical,6 months - 1 year,Music,Enjoys luxury items,Rare Choice,Apology,Disliked,Planned Surprise,Fancy Wrapping,Perfume
Other,42,Married,Luxury (>$500),First Valentine,Sentimental,1-3 years,Travel,Loves surprises,Very Popular,Expression of Love,Never Given Gift Before,Courier,Minimalist,Perfume
